iter	Passed	Remaining
0	37	37156
1	42	21030
2	47	15622
3	51	12889
4	55	11025
5	60	9945
6	67	9582
7	71	8912
8	101	11186
9	106	10531
10	113	10242
11	118	9779
12	123	9385
13	128	9084
14	134	8838
15	138	8506
16	143	8276
17	147	8066
18	153	7917
19	158	7745
20	161	7522
21	165	7377
22	169	7215
23	174	7098
24	179	6988
25	182	6848
26	185	6701
27	189	6573
28	193	6479
29	197	6384
30	200	6271
31	203	6161
32	207	6083
33	211	6007
34	215	5938
35	219	5873
36	223	5812
37	227	5753
38	229	5655
39	233	5604
40	237	5554
41	240	5478
42	244	5437
43	247	5379
44	251	5338
45	255	5296
46	258	5233
47	262	5196
48	265	5162
49	270	5135
50	274	5110
51	279	5087
52	281	5032
53	285	5006
54	289	4981
55	294	4962
56	301	4991
57	305	4966
58	310	4944
59	314	4923
60	318	4908
61	321	4870
62	326	4853
63	330	4835
64	335	4819
65	339	4804
66	343	4789
67	348	4778
68	353	4770
69	357	4752
70	362	4738
71	366	4725
72	370	4710
73	375	4694
74	379	4685
75	384	4668
76	388	4651
77	391	4624
78	396	4618
79	400	4605
80	404	4594
81	409	4581
82	413	4568
83	417	4556
84	423	4553
85	427	4543
86	432	4536
87	436	4527
88	441	4518
89	446	4519
90	450	4500
91	455	4490
92	458	4472
93	463	4466
94	467	4455
95	472	4450
96	477	4445
97	481	4435
98	489	4453
99	493	4444
100	497	4432
101	502	4424
102	507	4419
103	512	4411
104	515	4397
105	519	4385
106	524	4375
107	527	4353
108	531	4342
109	535	4331
110	539	4318
111	542	4304
112	547	4294
113	551	4284
114	555	4276
115	560	4268
116	564	4260
117	568	4251
118	573	4242
119	576	4226
120	580	4216
121	585	4212
122	589	4204
123	593	4194
124	598	4186
125	602	4177
126	606	4168
127	609	4151
128	613	4143
129	617	4135
130	622	4129
131	625	4113
132	629	4105
133	634	4098
134	638	4092
135	642	4084
136	647	4076
137	651	4070
138	656	4063
139	660	4057
140	664	4050
141	669	4042
142	673	4034
143	677	4028
144	682	4026
145	687	4020
146	691	4013
147	695	4006
148	700	3998
149	704	3991
150	708	3984
151	712	3976
152	715	3959
153	719	3953
154	723	3946
155	728	3940
156	730	3923
157	735	3918
158	738	3904
159	742	3898
160	746	3890
161	750	3883
162	754	3876
163	759	3871
164	764	3867
165	768	3863
166	773	3857
167	778	3853
168	782	3848
169	787	3845
170	792	3843
171	797	3840
172	802	3836
173	806	3829
174	808	3813
175	813	3807
176	817	3802
177	822	3796
178	826	3789
179	828	3775
180	833	3769
181	837	3763
182	841	3757
183	845	3750
184	850	3745
185	854	3740
186	859	3734
187	863	3729
188	867	3724
189	872	3719
190	876	3713
191	881	3708
192	885	3702
193	889	3695
194	893	3688
195	897	3683
196	902	3677
197	906	3670
198	910	3666
199	914	3659
200	919	3653
201	923	3648
202	926	3637
203	930	3632
204	933	3621
205	936	3609
206	940	3602
207	944	3595
208	948	3587
209	951	3581
210	956	3576
211	960	3570
212	964	3563
213	968	3558
214	972	3552
215	976	3545
216	980	3538
217	984	3531
218	988	3525
219	992	3518
220	996	3512
221	1000	3505
222	1003	3495
223	1007	3489
224	1011	3483
225	1015	3476
226	1019	3470
227	1022	3462
228	1026	3456
229	1030	3450
230	1034	3445
231	1038	3439
232	1042	3432
233	1045	3422
234	1049	3416
235	1053	3410
236	1057	3405
237	1062	3401
238	1066	3396
239	1070	3391
240	1075	3385
241	1078	3379
242	1081	3367
243	1085	3361
244	1089	3355
245	1093	3350
246	1096	3343
247	1100	3337
248	1104	3332
249	1108	3326
250	1112	3319
251	1116	3314
252	1120	3308
253	1124	3302
254	1128	3295
255	1131	3289
256	1136	3284
257	1140	3278
258	1144	3273
259	1148	3267
260	1152	3262
261	1156	3257
262	1160	3252
263	1164	3246
264	1168	3241
265	1175	3243
266	1178	3235
267	1180	3225
268	1183	3216
269	1187	3211
270	1191	3205
271	1194	3197
272	1198	3192
273	1203	3187
274	1207	3184
275	1211	3178
276	1215	3173
277	1219	3168
278	1224	3163
279	1228	3158
280	1232	3153
281	1236	3149
282	1241	3145
283	1245	3140
284	1249	3135
285	1254	3131
286	1258	3126
287	1262	3121
288	1264	3111
289	1269	3107
290	1273	3102
291	1276	3096
292	1279	3086
293	1283	3081
294	1287	3078
295	1291	3071
296	1295	3067
297	1300	3063
298	1305	3059
299	1309	3055
300	1314	3052
301	1318	3048
302	1323	3044
303	1328	3041
304	1333	3037
305	1337	3034
306	1342	3031
307	1347	3027
308	1352	3024
309	1356	3018
310	1359	3011
311	1361	3002
312	1366	2998
313	1370	2993
314	1374	2989
315	1380	2987
316	1384	2983
317	1389	2979
318	1393	2974
319	1397	2970
320	1402	2966
321	1406	2962
322	1412	2960
323	1417	2956
324	1421	2952
325	1426	2948
326	1430	2944
327	1435	2940
328	1439	2936
329	1444	2933
330	1448	2928
331	1453	2924
332	1457	2920
333	1462	2915
334	1466	2911
335	1471	2907
336	1475	2903
337	1480	2899
338	1484	2895
339	1489	2890
340	1493	2886
341	1498	2882
342	1502	2878
343	1507	2874
344	1510	2867
345	1514	2862
346	1518	2858
347	1523	2854
348	1527	2849
349	1532	2845
350	1536	2841
351	1541	2837
352	1545	2832
353	1549	2827
354	1553	2823
355	1558	2818
356	1562	2813
357	1566	2808
358	1571	2805
359	1575	2800
360	1577	2792
361	1581	2788
362	1586	2784
363	1591	2780
364	1595	2775
365	1599	2770
366	1603	2765
367	1607	2760
368	1611	2755
369	1614	2748
370	1619	2745
371	1623	2741
372	1627	2736
373	1631	2731
374	1636	2727
375	1640	2722
376	1644	2717
377	1649	2713
378	1653	2709
379	1657	2704
380	1662	2700
381	1666	2695
382	1671	2692
383	1675	2687
384	1678	2681
385	1683	2677
386	1687	2673
387	1689	2665
388	1694	2660
389	1698	2656
390	1702	2651
391	1706	2646
392	1710	2642
393	1715	2639
394	1719	2634
395	1724	2629
396	1728	2625
397	1733	2621
398	1737	2617
399	1741	2612
400	1745	2607
401	1749	2602
402	1752	2596
403	1756	2591
404	1761	2587
405	1765	2582
406	1769	2577
407	1773	2573
408	1777	2568
409	1782	2564
410	1786	2559
411	1790	2555
412	1793	2548
413	1797	2544
414	1801	2540
415	1806	2535
416	1810	2530
417	1814	2525
418	1818	2521
419	1822	2517
420	1830	2516
421	1834	2512
422	1838	2508
423	1843	2503
424	1847	2499
425	1851	2495
426	1856	2490
427	1860	2486
428	1864	2481
429	1868	2477
430	1873	2472
431	1876	2467
432	1881	2463
433	1885	2458
434	1889	2453
435	1891	2447
436	1896	2442
437	1900	2438
438	1904	2433
439	1908	2429
440	1913	2424
441	1916	2419
442	1920	2415
443	1925	2410
444	1929	2406
445	1933	2401
446	1937	2396
447	1940	2390
448	1945	2387
449	1949	2383
450	1953	2378
451	1957	2373
452	1961	2368
453	1965	2364
454	1969	2359
455	1972	2353
456	1976	2348
457	1980	2344
458	1985	2339
459	1989	2335
460	1993	2330
461	1995	2324
462	1999	2319
463	2003	2314
464	2007	2309
465	2011	2304
466	2015	2300
467	2019	2295
468	2023	2291
469	2027	2286
470	2031	2281
471	2035	2276
472	2039	2272
473	2043	2267
474	2047	2263
475	2051	2258
476	2054	2252
477	2058	2247
478	2062	2243
479	2066	2239
480	2070	2233
481	2074	2229
482	2076	2223
483	2081	2218
484	2085	2214
485	2089	2209
486	2093	2205
487	2097	2200
488	2102	2196
489	2106	2192
490	2110	2188
491	2115	2183
492	2119	2179
493	2123	2175
494	2127	2170
495	2132	2166
496	2137	2163
497	2141	2159
498	2145	2153
499	2149	2149
500	2154	2145
501	2158	2141
502	2163	2137
503	2167	2133
504	2171	2128
505	2176	2124
506	2180	2120
507	2183	2115
508	2188	2111
509	2193	2107
510	2197	2102
511	2201	2098
512	2206	2094
513	2211	2090
514	2215	2086
515	2220	2082
516	2224	2078
517	2229	2074
518	2233	2070
519	2238	2066
520	2242	2062
521	2247	2057
522	2251	2053
523	2255	2049
524	2259	2044
525	2262	2038
526	2267	2034
527	2271	2030
528	2275	2026
529	2279	2021
530	2283	2016
531	2287	2012
532	2292	2008
533	2296	2004
534	2301	2000
535	2305	1995
536	2309	1991
537	2314	1987
538	2318	1982
539	2322	1978
540	2327	1974
541	2331	1970
542	2334	1964
543	2338	1960
544	2343	1956
545	2348	1952
546	2352	1948
547	2357	1944
548	2361	1940
549	2365	1935
550	2369	1930
551	2372	1925
552	2376	1920
553	2380	1916
554	2384	1911
555	2388	1907
556	2393	1903
557	2397	1899
